Código,Ação,Tipo,Qtde. Teórica,Part. (%),Segmento,Valor de Mercado,FFO Yield,Dividend Yield
TRBL11,FII SDI LOG,CI  ER,7.739.092,0.303,Logística,409785000.0,9.67,14.4
SPXS11,FII SPX SYN,CI,20.189.040,0.124,Híbrido,167973000.0,12.48,14.12
SNCI11,FII SUNO CRI,CI,4.200.000,0.271,Títulos e Val. Mob.,366240000.0,12.77,13.6
SNEL11,FII SUNO EL,CI,38.359.418,0.241,Híbrido,325457000.0,4.86,13.81
SNFF11,FII SUNOFOFI,CI,4.020.635,0.204,Títulos e Val. Mob.,276097000.0,9.76,13.25
TEPP11,FII TEL PROP,CI  ER,4.221.967,0.245,Lajes Corporativas,332269000.0,9.61,13.21
TGAR11,FII TG ATIVO,CI  ER,23.567.968,1.477,Híbrido,1999040000.0,12.2,14.74
TVRI11,FII TIVIO RI,CI  ER,15.919.690,1.068,Lajes Corporativas,1445830000.0,10.2,13.2
TOPP11,FII TOPP,CI,4.528.240,0.231,Outros,313354000.0,7.08,10.6
TRXF11,FII TRX REAL,CI  ER,30.001.739,2.177,Híbrido,1968290000.0,11.28,13.32
URPR11,FII URCA REN,CI  ER,11.733.895,0.293,Outros,396019000.0,18.01,26.29
VGHF11,FII VALOR HE,CI  ER,164.721.683,0.911,Títulos e Val. Mob.,1233770000.0,12.2,14.24
VGIP11,FII VALORAIP,CI,11.787.247,0.718,Títulos e Val. Mob.,972448000.0,12.2,14.15
VGIR11,FII VALREIII,CI,146.101.287,1.02,Títulos e Val. Mob.,1380660000.0,12.11,13.89
VCJR11,FII VECTIS,CI  ER,14.723.970,0.861,Títulos e Val. Mob.,1166140000.0,14.41,14.45
VGRI11,FII VGRI,CI  ER,35.021.736,0.219,Títulos e Val. Mob.,296984000.0,16.15,19.09
VIUR11,FII VINCI IU,CI  ER,26.946.220,0.104,Outros,141468000.0,15.68,15.12
VILG11,FII VINCI LG,CI  ER,14.997.396,0.887,Logística,1200390000.0,9.25,9.75
VINO11,FII VINCI OF,CI  ER,82.826.295,0.307,Lajes Corporativas,414960000.0,10.77,12.53
VISC11,FII VINCI SC,CI  ER,28.828.640,2.114,Shoppings,2862400000.0,9.48,9.64
VRTM11,FII VRTM,CI  ER,46.971.245,0.236,Híbrido,318935000.0,10.52,15.48
WHGR11,FII WHG REAL,CI  ER,30.912.379,0.198,Híbrido,267392000.0,13.2,12.97
XPCI11,FII XP CRED,CI  ER,8.701.552,0.52,Títulos e Val. Mob.,704130000.0,11.76,12.67
XPLG11,FII XP LOG,CI  ER,31.175.931,2.199,Logística,2976680000.0,8.4,10.01
XPML11,FII XP MALLS,CI,56.720.787,4.221,Shoppings,5714620000.0,10.0,10.86
XPSF11,FII XP SELEC,CI  ER,43.302.140,0.189,Títulos e Val. Mob.,256782000.0,14.17,13.03
